Month,Downloads,Mod Rewards,Your Reward,Downloads MA_3,Downloads MA_6,Rewards MA_3,Rewards MA_6,YourReward MA_3,Downloads Std_3,Rewards Std_3,Downloads Growth %,Rewards Growth %,YourReward Growth %,Downloads YoY Growth %,Rewards YoY Growth %,Rewards per Download,YourReward per Download,YourReward Share %,Rolling Correlation,Cumulative Downloads,Cumulative Rewards,Cumulative YourReward,Year,Quarter,Month_Name,Month_Num,Downloads Outlier,Rewards Outlier,YourReward Outlier
2024-09-01,65379,65215,65215,75951.33333333333,69103.33333333333,75762.0,68848.33333333333,75762.0,10083.086151240252,10060.232551984069,-15.107642766250295,-15.105637928116744,-15.105637928116744,5.792973996342976,6.584839669205378,0.9974915492742318,0.9974915492742318,100.0,0.9999830046087228,2191616,2115251,2115251,2024,3,September,9,False,False,False
2024-10-01,60127,59995,59995,67506.66666666667,71710.0,67343.0,71479.33333333333,67343.0,8642.217095938573,8611.50579167197,-8.033160494960157,-8.004293490761327,-8.004293490761327,-47.874295622019936,-47.80047679537822,0.9978046468308747,0.9978046468308747,100.0,0.9999529030759238,2251743,2175246,2175246,2024,4,October,10,False,False,False
2024-11-01,55103,54974,54974,60203.0,70775.83333333333,60061.333333333336,70596.83333333333,60061.333333333336,5138.421547518237,5120.822232155031,-8.35564721339831,-8.369030752562711,-8.369030752562711,-53.296605500699236,-53.18333560430577,0.9976589296408545,0.9976589296408545,100.0,0.9999990588045832,2306846,2230220,2230220,2024,4,November,11,False,False,False
2024-12-01,48556,48477,48477,54595.333333333336,65273.333333333336,54482.0,65122.0,54482.0,5802.180997981122,5774.740600234777,-11.881385768469954,-11.818314112125726,-11.818314112125726,-57.17146057703333,-57.06428356331816,0.9983730126040036,0.9983730126040036,100.0,0.9999996424329514,2355402,2278697,2278697,2024,4,December,12,False,False,False
2025-01-01,56692,56602,56602,53450.333333333336,60478.5,53351.0,60347.0,53351.0,4312.436009187063,4298.779245320689,16.755910701046204,16.76052561008312,16.76052561008312,-46.26503511748481,-46.06662347067119,0.998412474423199,0.998412474423199,100.0,0.9999987008502882,2412094,2335299,2335299,2025,1,January,1,False,False,False
2025-02-01,59790,59701,59701,55012.666666666664,57607.833333333336,54926.666666666664,57494.0,54926.666666666664,5802.224515936382,5796.516223848015,5.464615818810414,5.475071552241961,5.475071552241961,-31.55828248949736,-31.274677963370134,0.9985114567653454,0.9985114567653454,100.0,0.9999918655935035,2471884,2395000,2395000,2025,1,February,2,False,False,False
2025-03-01,52050,51910,51910,56177.333333333336,55386.333333333336,56071.0,55276.5,56071.0,3895.5822842462385,3922.5490436704463,-12.945308580030101,-13.050032662769473,-13.050032662769473,-34.15059966600881,-33.95086076368125,0.9973102785782901,0.9973102785782901,100.0,0.9999828973452828,2523934,2446910,2446910,2025,1,March,3,False,False,False
2025-04-01,55143,54991,54991,55661.0,54555.666666666664,55534.0,54442.5,55534.0,3895.913628406028,3923.7809571891157,5.942363112391935,5.935272587170104,5.935272587170104,23.953064940319635,24.388699133660573,0.997243530457175,0.997243530457175,100.0,0.9999681819765122,2579077,2501901,2501901,2025,2,April,4,False,False,False
2025-05-01,54348,54196,54196,53847.0,54429.833333333336,53699.0,54312.833333333336,53699.0,1606.210758275472,1599.4989840571743,-1.4417061095696626,-1.4456911130912298,-1.4456911130912298,-10.476378730974501,-10.076490401367199,0.9972032089497314,0.9972032089497314,100.0,0.9999602394426157,2633425,2556097,2556097,2025,2,May,5,False,False,False
2025-06-01,44106,43970,43970,51199.0,53688.166666666664,51052.333333333336,53561.666666666664,51052.333333333336,6155.5660178410835,6146.347723106242,-18.845219695296976,-18.868551184589265,-18.868551184589265,-45.929313113729144,-45.93364975530581,0.996916519294427,0.996916519294427,100.0,0.9999888696404466,2677531,2600067,2600067,2025,2,June,6,False,False,False
2025-07-01,33149,33037,33037,43867.666666666664,49764.333333333336,43734.333333333336,49634.166666666664,43734.333333333336,10601.509436553528,10581.468439367634,-24.84242506688432,-24.864680463952695,-24.864680463952695,-61.21154678742351,-61.24782996293342,0.9966213158767987,0.9966213158767987,100.0,0.9999966683681538,2710680,2633104,2633104,2025,3,July,7,False,False,False
2025-08-01,31906,31854,31854,36387.0,45117.0,36287.0,44993.0,36287.0,6713.67879779785,6679.913098237132,-3.7497360403028757,-3.580833610800016,-3.580833610800016,-58.57116887838575,-58.53369609081087,0.9983702124992164,0.9983702124992164,100.0,0.9999983043350862,2742586,2664958,2664958,2025,3,August,8,False,False,False
2025-09-01,33281,33224,33224,32778.666666666664,41988.833333333336,32705.0,41878.666666666664,32705.0,758.6279281266926,742.8950127709837,4.309534256879588,4.300872731839012,4.300872731839012,-49.09527524128543,-49.054665337729055,0.9982873110783931,0.9982873110783931,100.0,0.9999978914386126,2775867,2698182,2698182,2025,3,September,9,False,False,False
2025-10-01,38332,38267,38267,34506.333333333336,39187.0,34448.333333333336,39091.333333333336,34448.333333333336,3383.7036414753848,3377.260181468601,15.17682761936241,15.178786419455825,15.178786419455825,-36.24827448567199,-36.21635136261355,0.9983042888448294,0.9983042888448294,100.0,0.9999956602659552,2814199,2736449,2736449,2025,4,October,10,False,False,False
2025-11-01,44487,44422,44422,38700.0,37543.5,38637.666666666664,37462.333333333336,38637.666666666664,5612.05639672308,5608.1945698534155,16.05708024626944,16.084354665900126,16.084354665900126,-19.265738707511392,-19.19452832247972,0.9985388990042035,0.9985388990042035,100.0,0.9999841676192548,2858686,2780871,2780871,2025,4,November,11,False,False,False
